eta;run;va_mean;std
3.50000000;9;0.38788540;0.08565926
3.50000000;10;0.38553166;0.08908012
4.00000000;1;0.20716841;0.08159476
4.00000000;2;0.20749378;0.08638728
4.00000000;3;0.20226632;0.08551421
4.00000000;4;0.21568658;0.08176743
4.00000000;5;0.22665205;0.07671469
4.00000000;6;0.20207657;0.08153191
4.00000000;7;0.20167080;0.07962541
4.00000000;8;0.20255874;0.07789027
4.00000000;9;0.20170507;0.07844075
4.00000000;10;0.21612040;0.07963632
4.50000000;1;0.10014846;0.05148953
4.50000000;2;0.10479568;0.04860053
4.50000000;3;0.10313750;0.05099747
4.50000000;4;0.10348665;0.04938419
4.50000000;5;0.10551390;0.05023468
4.50000000;6;0.10807031;0.05139900
4.50000000;7;0.10421949;0.05167372
4.50000000;8;0.10150883;0.04984536
4.50000000;9;0.09496964;0.04817005
4.50000000;10;0.10466375;0.05324458
5.00000000;1;0.06312577;0.03285857
5.00000000;2;0.06220203;0.03272943
5.00000000;3;0.06217307;0.03145014
5.00000000;4;0.06423617;0.03271760
5.00000000;5;0.06240822;0.03225704
5.00000000;6;0.06237638;0.03191613
5.00000000;7;0.06162863;0.03120726
5.00000000;8;0.06052803;0.03056987
5.00000000;9;0.06155035;0.03133668
5.00000000;10;0.06208137;0.03273016
0.00000000;1;0.99404322;0.00499251
0.00000000;2;0.99314736;0.00790326
0.00000000;3;0.99517963;0.00353353
0.00000000;4;0.99123130;0.01231993
0.00000000;5;0.99378110;0.00517150
0.00000000;6;0.99333806;0.00503024
0.00000000;7;0.99603860;0.00366565
0.00000000;8;0.99306402;0.00475332
0.00000000;9;0.99334667;0.00584624
0.00000000;10;0.99522023;0.00348401
0.20000000;1;0.99066191;0.00698021
0.20000000;2;0.98974340;0.00765914
0.20000000;3;0.99352514;0.00353622
0.20000000;4;0.99188633;0.00631753
0.20000000;5;0.99270276;0.00515819
0.20000000;6;0.99297421;0.00357801
0.20000000;7;0.99195706;0.00561874
0.20000000;8;0.99024483;0.00590553
0.20000000;9;0.99264964;0.00515726
0.20000000;10;0.98742436;0.00876186
0.40000000;1;0.98465484;0.00649646
0.40000000;2;0.98192470;0.01115024
0.40000000;3;0.98189960;0.00879032
0.40000000;4;0.98606751;0.00589895
0.40000000;5;0.98408665;0.00749406
0.40000000;6;0.98178618;0.00986183
0.40000000;7;0.98476587;0.00641752
0.40000000;8;0.98417227;0.00935841
0.40000000;9;0.98326031;0.00747755
0.40000000;10;0.98381907;0.01033182
0.60000000;1;0.97035684;0.01079713
0.60000000;2;0.97305360;0.00806590
0.60000000;3;0.97318241;0.00682429
0.60000000;4;0.97329881;0.01013553
0.60000000;5;0.97388608;0.00795468
0.60000000;6;0.97004953;0.00952501
0.60000000;7;0.97028019;0.00982747
0.60000000;8;0.97437370;0.00601532
0.60000000;9;0.96915519;0.01076614
0.60000000;10;0.97205526;0.00823263
0.80000000;1;0.95639003;0.01268078
0.80000000;2;0.95650639;0.00924828
0.80000000;3;0.95499357;0.00960969
0.80000000;4;0.95527155;0.01289732
0.80000000;5;0.95839587;0.00961951
0.80000000;6;0.95565268;0.01020735
0.80000000;7;0.95441259;0.01049848
0.80000000;8;0.95660407;0.00880213
0.80000000;9;0.95763137;0.00959724
0.80000000;10;0.95555021;0.01046766
1.00000000;1;0.93312987;0.01388136
1.00000000;2;0.93756393;0.01338460
1.00000000;3;0.93350121;0.01806738
1.00000000;4;0.93385710;0.01681938
1.00000000;5;0.93946663;0.01324125
1.00000000;6;0.93631905;0.01106631
1.00000000;7;0.93281686;0.01586385
1.00000000;8;0.93494172;0.01889172
1.00000000;9;0.93537572;0.01458866
1.00000000;10;0.93755044;0.01422572
1.20000000;1;0.90999427;0.01609413
1.20000000;2;0.90698036;0.02379448
1.20000000;3;0.90940112;0.01834743
1.20000000;4;0.91022636;0.01621979
1.20000000;5;0.90830745;0.01648597
1.20000000;6;0.91010559;0.01946555
1.20000000;7;0.91321904;0.01539853
1.20000000;8;0.90815351;0.01948155
1.20000000;9;0.91505900;0.01537157
1.20000000;10;0.91119055;0.02003029
1.40000000;1;0.88330934;0.01631515
1.40000000;2;0.88407322;0.01781056
1.40000000;3;0.88619087;0.01941188
1.40000000;4;0.88492101;0.01860022
1.40000000;5;0.88540906;0.01821244
1.40000000;6;0.88233329;0.01968569
1.40000000;7;0.88314829;0.02001961
